NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
246Mychal Mulder,GS,SG,14,9.4,3.7,1.2,2.4,50.0,1.0,2.1,46.7,0.3,0.5,57.1,0.9,0.4,0.1,0.1,0.3,0,0,10.95
246Sekou Doumbouya,DET,SF,14,10.9,3.7,1.3,3.9,32.7,0.5,1.5,33.3,0.6,0.8,81.8,2.4,0.4,0.3,0.1,0.3,0,0,7.91
248T.J. McConnell,IND,PG,12,19.6,3.7,1.8,3.5,50.0,0.1,0.3,33.3,0.1,0.2,50.0,3.1,5.1,1.8,0.0,1.3,0,0,14.79
249Jevon Carter,PHX,PG,14,12.8,3.5,1.4,3.6,37.3,0.6,2.4,26.5,0.1,0.1,100.0,1.3,0.8,0.5,0.4,0.2,0,0,7.66
250Cody Martin,CHA,SF,11,11.4,3.5,1.4,2.5,53.6,0.2,0.9,20.0,0.5,0.7,75.0,2.3,1.3,0.5,0.0,0.5,0,0,13.77
251Matisse Thybulle,PHI,SG,13,14.7,3.3,1.2,3.5,35.6,0.6,2.3,26.7,0.2,0.4,60.0,1.5,0.7,1.2,0.8,0.3,0,0,9.45
252Rodney Hood,POR,SG,12,14.1,3.3,1.3,4.2,32.0,0.5,1.8,27.3,0.1,0.1,100.0,1.3,1.4,0.6,0.2,0.8,0,0,4.72
253Aleksej Pokusevski,OKC,PF,12,16.7,3.1,1.3,5.3,23.8,0.6,3.3,17.5,0.0,0.0,0.0,3.7,1.3,0.5,1.1,1.5,0,0,2.24
254Kenrich Williams,OKC,SG,14,11.4,3.1,1.1,2.6,44.4,0.3,0.8,36.4,0.5,0.6,87.5,2.1,1.0,0.5,0.3,0.4,0,0,11.84
255Isaac Bonga,WSH,SF,8,11.8,3.0,1.1,1.8,64.3,0.8,1.3,60.0,0.0,0.1,0.0,2.3,0.8,0.3,0.4,0.4,0,0,11.21
256Nerlens Noel,NY,C,15,15.9,2.9,1.2,2.3,51.4,0.0,0.1,0.0,0.5,1.0,53.3,4.9,0.4,0.9,1.7,1.1,0,0,13.43
257Stanley Johnson,TOR,SF,13,14.5,2.9,1.1,2.3,46.7,0.6,1.3,47.1,0.2,0.3,50.0,2.9,1.3,0.8,0.4,0.5,0,0,12.09
258Wes Iwundu,DAL,SF,11,15.9,2.9,1.1,3.3,33.3,0.3,1.6,16.7,0.5,0.5,83.3,2.4,0.5,0.5,0.0,0.3,0,0,4.77
259Thanasis Antetokounmpo,MIL,SF,13,10.0,2.6,1.2,1.8,65.2,0.2,0.5,28.6,0.2,0.2,66.7,1.9,0.9,0.2,0.2,1.0,0,0,9.41
260Gary Clark,ORL,SF,13,18.8,2.5,0.8,3.2,26.2,0.5,2.5,21.2,0.3,0.4,80.0,3.8,0.5,0.3,0.2,0.8,0,0,3.78
261Harry Giles III,POR,PF,10,9.0,2.5,0.9,2.1,42.9,0.2,0.4,50.0,0.5,0.8,62.5,3.3,0.6,0.4,0.5,0.6,0,0,11.69
262Dean Wade,CLE,PF,13,10.7,2.4,0.8,2.3,36.7,0.5,1.5,35.0,0.2,0.2,100.0,1.4,0.5,0.4,0.1,0.5,0,0,6.39
263Ed Davis,MIN,F,11,13.6,2.3,0.9,2.5,37.0,0.0,0.0,0.0,0.5,0.5,83.3,5.2,0.9,0.5,0.5,0.3,0,0,12.69
264Josh Green,DAL,SG,13,13.5,2.2,0.9,2.2,42.9,0.0,0.6,0.0,0.4,0.6,62.5,2.8,0.7,0.2,0.0,0.6,0,0,5.57
265Terance Mann,LAC,SG,14,8.9,2.2,0.9,2.4,39.4,0.1,0.5,28.6,0.2,0.4,50.0,2.4,0.6,0.2,0.1,0.6,0,0,7.37
