NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Okaro White,0.0,0.0,0.0,-0.251,-11.0,-8.2,-19.2,0.0,0.0
Hassan Whiteside,2.3,4.0,6.3,.180,-2.2,3.0,0.8,1.2,3.24
Andrew Wiggins,-0.6,1.3,0.6,.012,-1.7,-1.3,-2.9,-0.6,-1.62
Alan Williams,0.1,0.1,0.2,.312,3.1,2.7,5.8,0.1,0.27
C.J. Williams,0.1,0.1,0.1,.042,-1.8,-2.2,-4.0,-0.1,-0.27
Johnathan Williams,0.7,0.3,1.0,.135,-0.9,-0.8,-1.7,0.0,0.0
Kenrich Williams,0.3,0.9,1.2,.053,-1.2,0.9,-0.3,0.5,1.35
Lou Williams,3.9,1.2,5.1,.123,3.1,-2.6,0.4,1.2,3.24
Marvin Williams,1.9,1.9,3.8,.086,-0.2,0.5,0.3,1.3,3.5100000000000002
Robert Williams,0.5,0.6,1.2,.201,-2.4,6.7,4.4,0.5,1.35
Troy Williams,0.1,0.3,0.4,.064,-2.3,-0.3,-2.6,0.0,0.0
D.J. Wilson,0.3,1.4,1.7,.093,-2.4,0.9,-1.6,0.1,0.27
Justise Winslow,0.2,2.6,2.8,.067,-1.1,1.0,-0.1,1.0,2.7
Christian Wood,0.4,0.3,0.8,.151,-1.5,-1.8,-3.3,-0.1,-0.27
Delon Wright,1.9,2.4,4.3,.121,0.0,1.5,1.5,1.5,4.050000000000001
Guerschon Yabusele,0.2,0.3,0.5,.090,-2.1,-0.1,-2.1,0.0,0.0
Nick Young,0.0,0.0,0.0,-0.021,-4.4,-2.6,-7.0,0.0,0.0
Thaddeus Young,3.0,3.9,6.9,.133,0.8,2.1,2.9,3.1,8.370000000000001
Trae Young,2.5,0.7,3.3,.062,1.8,-2.8,-1.1,0.6,1.62
Cody Zeller,2.6,1.2,3.9,.150,0.2,1.7,2.0,1.2,3.24
Tyler Zeller,0.2,0.1,0.3,.167,-1.0,-1.2,-2.2,0.0,0.0
Ante Žižić,1.7,0.3,2.0,.087,-1.7,-1.4,-3.1,-0.3,-0.81
Ivica Zubac,1.9,1.3,3.2,.148,-1.2,1.0,-0.3,0.5,1.35
