NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Doug McDermott,1.8,1.1,2.9,.103,0.0,-2.1,-2.1,0.0,0.0
JaVale McGee,3.0,2.9,5.9,.171,-0.9,2.8,1.9,1.7,4.59
Rodney McGruder,0.4,1.6,1.9,.059,-1.9,-0.1,-2.0,0.0,0.0
Alfonzo McKinnie,1.2,0.9,2.1,.100,-0.9,-1.5,-2.5,-0.1,-0.27
Ben McLemore,0.1,0.1,0.2,.055,-1.1,-2.6,-3.7,-0.1,-0.27
Jordan McRae,0.3,0.2,0.5,.066,-1.9,-1.8,-3.7,-0.1,-0.27
Jodie Meeks,0.2,0.1,0.3,.153,1.4,-2.2,-0.8,0.0,0.0
Salah Mejri,0.5,0.6,1.1,.136,-1.6,3.5,1.9,0.4,1.08
De'Anthony Melton,-0.8,0.8,0.0,.002,-3.5,1.0,-2.6,-0.1,-0.27
Chimezie Metu,-0.5,0.2,-0.3,-0.099,-9.0,-0.2,-9.2,-0.3,-0.81
Khris Middleton,2.5,3.6,6.1,.123,0.7,0.1,0.8,1.7,4.59
C.J. Miles,-0.2,0.9,0.7,.041,-2.1,-1.4,-3.4,-0.3,-0.81
Darius Miller,1.1,0.6,1.6,.045,-0.1,-1.5,-1.7,0.1,0.27
Malcolm Miller,0.1,0.1,0.2,.130,1.8,-3.8,-2.0,0.0,0.0
Patty Mills,2.2,1.2,3.5,.087,1.5,-2.0,-0.5,0.7,1.89
Paul Millsap,3.2,2.9,6.1,.155,0.5,1.9,2.4,2.1,5.670000000000001
Shake Milton,0.1,0.3,0.3,.059,-2.1,-0.6,-2.7,0.0,0.0
Nikola Mirotić,2.0,1.4,3.5,.133,1.2,-1.2,0.0,0.6,1.62
Donovan Mitchell,1.3,3.7,5.0,.092,0.8,-0.2,0.6,1.7,4.59
Naz Mitrou-Long,-0.2,0.1,-0.1,-0.046,-7.0,-1.9,-8.9,-0.1,-0.27
Malik Monk,-0.4,0.7,0.3,.012,-1.1,-2.7,-3.9,-0.6,-1.62
Greg Monroe,0.4,0.7,1.1,.108,-2.9,-0.7,-3.6,-0.2,-0.54
E'Twaun Moore,1.2,0.5,1.7,.055,-0.2,-1.9,-2.2,-0.1,-0.27
Eric Moreland,-0.1,0.1,0.0,.032,-7.4,2.6,-4.8,0.0,0.0
Jaylen Morris,0.0,0.1,0.1,.084,-3.8,0.9,-3.0,0.0,0.0
Marcus Morris,2.1,2.5,4.5,.104,-0.4,-1.0,-1.4,0.3,0.81
Markieff Morris,0.6,1.1,1.6,.061,-1.7,-1.1,-2.8,-0.3,-0.81
Monte Morris,4.4,1.8,6.2,.151,1.5,-1.3,0.2,1.1,2.9700000000000006
Donatas Motiejūnas,-0.1,0.0,-0.1,-0.246,-11.2,-0.3,-11.5,0.0,0.0
Johnathan Motley,0.1,0.2,0.3,.092,-1.8,-1.4,-3.2,0.0,0.0
Emmanuel Mudiay,0.1,0.7,0.8,.023,-0.5,-1.9,-2.4,-0.2,-0.54
Jamal Murray,2.8,2.3,5.1,.100,1.1,-1.0,0.1,1.3,3.5100000000000002
Džanan Musa,-0.2,0.0,-0.1,-0.152,-7.6,-2.8,-10.4,-0.1,-0.27
Mike Muscala,1.2,1.2,2.5,.091,-0.3,-0.3,-0.7,0.4,1.08
Sviatoslav Mykhailiuk,-0.4,0.3,-0.1,-0.012,-3.6,-2.1,-5.7,-0.4,-1.08
Abdel Nader,0.0,0.9,0.9,.062,-4.2,-0.9,-5.1,-0.5,-1.35
Larry Nance,3.3,1.6,4.9,.131,1.4,2.6,4.0,2.7,7.290000000000001
Shabazz Napier,1.0,1.0,2.0,.098,0.5,-1.1,-0.7,0.3,0.81
Raul Neto,0.5,0.6,1.1,.116,-1.0,-0.6,-1.6,0.0,0.0
Georges Niang,0.7,0.7,1.3,.123,-0.2,-0.8,-1.1,0.1,0.27
Joakim Noah,1.0,1.2,2.2,.150,-1.9,3.5,1.6,0.6,1.62
Nerlens Noel,1.9,2.5,4.3,.198,-1.6,5.5,3.9,1.6,4.32
Dirk Nowitzki,-0.5,0.8,0.3,.016,-3.8,-2.1,-5.9,-0.8,-2.16
Frank Ntilikina,-1.3,0.4,-0.8,-0.045,-4.5,-1.2,-5.7,-0.8,-2.16
James Nunnally,0.1,0.0,0.1,.035,-1.6,-4.8,-6.4,-0.1,-0.27
Jusuf Nurkić,4.4,3.3,7.8,.189,1.6,3.6,5.1,3.5,9.450000000000001
David Nwaba,1.1,0.3,1.4,.069,-1.1,-0.6,-1.7,0.1,0.27
Royce O'Neale,0.7,2.5,3.3,.094,-2.0,2.1,0.1,0.9,2.43
Kyle O'Quinn,0.2,0.8,1.0,.125,-2.4,4.1,1.8,0.4,1.08
Semi Ojeleye,0.2,0.5,0.7,.057,-2.5,-1.7,-4.3,-0.3,-0.81
Jahlil Okafor,1.4,0.8,2.2,.115,-1.7,-0.5,-2.3,-0.1,-0.27
Élie Okobo,-0.7,0.2,-0.5,-0.027,-3.7,-2.2,-5.9,-0.9,-2.43
Josh Okogie,-0.1,1.4,1.2,.034,-2.0,0.4,-1.7,0.1,0.27
Victor Oladipo,0.4,1.9,2.3,.097,1.3,1.0,2.3,1.3,3.5100000000000002
